No.	order	Family	genus	species	species_rv	JapaneseName	ecology	hunting_mode	abbreviation
14	Araneae	Thomisidae	Oxytate	Oxytate_striatipes	Oxytate_striatipes	ワカバグモ	free-living	sit-and-wait	Oxy_str
15	Araneae	Pisauridae	Dolomedes	Dolomedes_sp.	Dolomedes_sp.	ハシリグモ属	free-living	active-hunting	Dol_sp.
16	Araneae	Araneidae	Neoscona	Neoscona_nautica	Neoscona_nautica	イエオニグモ	web-weabing	web-weabing	Neo_nau
17	Araneae	Araneidae	Araneus 	Araneus_abscissus	Gibbaranea_abscissus	キザハシオニグモ	web-weabing	web-weabing	Gib_abs
18	Araneae	Araneidae	Argiope	Argiope_amoena	Argiope_amoena	コガネグモ	web-weabing	web-weabing	Arg_amo
19	Araneae	Araneidae	Argiope	Argiope_bruennichi	Argiope_bruennichi	ナガコガネグモ	web-weabing	web-weabing	Arg_bru
20	Araneae	Araneidae	Larinia	Larinia_argiopiformis	Larinia_argiopiformis	コガネグモダマシ	web-weabing	web-weabing	Lar_arg
21	Araneae	Araneidae	Cyclosa	Cyclosa_sedeculata	Cyclosa_sedeculata	ヨツデゴミグモ	web-weabing	web-weabing	Cyc_sed
22	Araneae	Araneidae	Hypsosinga	Hypsosinga_pygmaea	Hypsosinga_pygmaea	ヨツボシショウジョウグモ	web-weabing	web-weabing	Hyp_pyg
23	Araneae	Araneidae	Cyrtarachne	Cyrtarachne_nagasakiensis	Cyrtarachne_nagasakiensis	シロオビトリノフンダマシ	web-weabing	web-weabing	Cyr_nag
24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	Neoscona_scylloides	サツマノミダマシ	web-weabing	web-weabing	Neo_scy
25	Araneae	Araneidae	Neoscona	Neoscona_adianta	Neoscona_adianta	ドヨウオニグモ	web-weabing	web-weabing	Neo_adi
26	Araneae	Araneidae	Neoscona	Neoscona_mellotteei	Neoscona_mellotteei	ワキグロサツマノミダマシ	web-weabing	web-weabing	Neo_mel
27	Araneae	Araneidae	-	Araneidae_sp.1	Araneidae_sp.1	コガネグモ科_sp.1	free-living	web-weabing	Ara_sp.1
28	Araneae	Araneidae	-	Araneidae_sp.2	Araneidae_sp.2	コガネグモ科_sp.2	free-living	web-weabing	Ara_sp.2
29	Araneae	Araneidae	Araneus 	Araneus_ejusmodi	Araneus_ejusmodi	ヌサオニグモ	web-weabing	web-weabing	Ara_eju
30	Araneae	Araneidae	Cyclosa	Cyclosa_atrata	Cyclosa_atrata	カギヅメカラスゴミグモ	web-weabing	web-weabing	Cyc_atr
31	Araneae	Araneidae	 Araniella	Araniella_sp.	Araniella_sp.	ムツボシオニグモ属	web-weabing	web-weabing	Ara_sp.
32	Araneae	Cheiracanthiidae	Cheiracanthium	Cheiracanthium_japonicum	Cheiracanthium_japonicum	カバキコマチグモ	free-living	active-hunting	Che_jap
33	Araneae	Lycosidae	-	Lycosidae_sp.1	Lycosidae_sp.1	コモリグモ科_sp.1	free-living	active-hunting	Lyc_sp.1
34	Araneae	Lycosidae	-	Lycosidae_sp.2	Lycosidae_sp.2	コモリグモ科_sp.2	free-living	active-hunting	Lyc_sp.2
35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	Pardosa_sp.	オオアシコモリグモ属	free-living	active-hunting	Par_sp.
36	Araneae	Oxyopidae	Oxyope	Oxyopes_badius	Oxyopes_badius	クリチャササグモ	free-living	sit-and-wait	Oxy_bad
37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	Oxyopes_sertatus	ササグモ	free-living	sit-and-wait	Oxy_ser
38	Araneae	Linyphiidae	Neriene	Neriene_radiata	Neriene_radiata	シロブチサラグモ	web-weabing	web-weabing	Ner_rad
39	Araneae	Linyphiidae	-	Linyphiidae_sp.1	Linyphiidae_sp.1	サラグモ科_sp.1	web-weabing	web-weabing	Lin_sp.1
40	Araneae	Linyphiidae	-	Linyphiidae_sp.2	Linyphiidae_sp.2	サラグモ科_sp.2	web-weabing	web-weabing	Lin_sp.2
41	Araneae	Linyphiidae	-	Linyphiidae_sp.3	Linyphiidae_sp.3	サラグモ科_sp.3	web-weabing	web-weabing	Lin_sp.3
42	Araneae	Linyphiidae	-	Linyphiidae_sp.4	Linyphiidae_sp.4	サラグモ科_sp.4	web-weabing	web-weabing	Lin_sp.4
43	Araneae	Linyphiidae	-	Linyphiidae_sp.5	Linyphiidae_sp.5	サラグモ科_sp.5	web-weabing	web-weabing	Lin_sp.5
44	Araneae	Linyphiidae	Bathyphantes	Bathyphantes_sp.	Bathyphantes_sp.	テナガグモ属	web-weabing	web-weabing	Bat_sp.
45	Araneae	Nephilinae	Nephila	Nephila_clavata	Trichonephila_clavata	ジョロウグモ	web-weabing	web-weabing	Tri_cla
46	Araneae	Mimetidae	Mimetus	Mimetus_sp.	Mimetus_sp.	オオセンショウグモ属	web-weabing	Attack	Mim_sp.
47	Araneae	Agelenidae	Agelena	Agelena_silvatica	Agelena_silvatica	クサグモ	web-weabing	web-weabing	Age_sil
48	Araneae	Agelenidae	Allagelena	Allagelena_opulenta	Allagelena_opulenta	コクサグモ	web-weabing	web-weabing	All_opu
49	Araneae	Salticidae	-	Salticidae_sp.1	Salticidae_sp.1	ハエトリグモ科_sp.1	free-living	active-hunting	Sal_sp.1
50	Araneae	Salticidae	-	Salticidae_sp.2	Salticidae_sp.2	ハエトリグモ科_sp.2	free-living	active-hunting	Sal_sp.2
51	Araneae	Salticidae	-	Salticidae_sp.3	Salticidae_sp.3	ハエトリグモ科_sp.3	free-living	active-hunting	Sal_sp.3
52	Araneae	Salticidae	-	Salticidae_sp.4	Salticidae_sp.4	ハエトリグモ科_sp.4	free-living	active-hunting	Sal_sp.4
53	Araneae	Salticidae	-	Salticidae_sp.5	Salticidae_sp.5	ハエトリグモ科_sp.5	free-living	active-hunting	Sal_sp.5
54	Araneae	Salticidae	-	Salticidae_sp.6	Salticidae_sp.6	ハエトリグモ科_sp.6	free-living	active-hunting	Sal_sp.6
55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	Myrmarachne_sp.	アリグモ	free-living	active-hunting	Myr_sp.
56	Araneae	Salticidae	Mendoza	Mendoza_elongata	Mendoza_elongata	ヤハズハエトリ	free-living	active-hunting	Men_elo
57	Araneae	Salticidae	Sitticus	Sitticus_sp.	Sitticus_sp.	ナミハエトリグモ属	free-living	active-hunting	Sit_sp.
58	Araneae	Theridiidae	-	Theridiidae_sp.	Theridiidae_sp.	ヒメグモ科	web-weabing	unidentified	The_sp.
59	Araneae	Theridiidae	Argyrodes	Argyrodes_bonadea	Argyrodes_bonadea	シロカネイソウロウグモ	free-living	freeloader	Arg_bon
60	Araneae	Theridiidae	Parasteatoda	Parasteatoda_japonica	Parasteatoda_japonica	ニホンヒメグモ	web-weabing	web-weabing	Par_jap
61	Araneae	Theridiidae	Ariamnes	Ariamnes_cylindrogaster	Ariamnes_cylindrogaster	オナガグモ	web-weabing	web-weabing	Ari_cyl
62	Araneae	Theridiidae	Episinus	Episinus_sp.	Episinus_sp.	ヒシガタグモ属	web-weabing	web-weabing	Epi_sp.
63	Araneae	Clubionidae	Clubiona	Clubiona_sp.	Clubiona_sp.	フクログモ属	free-living	active-hunting	Clu_sp.
